Date,Flux,Source
2024-12-19,460000.0,Real
2024-12-20,500000.0,Real
2024-12-21,520000.0,Real
2024-12-22,510000.0,Real
2024-12-23,470000.0,Real
2024-12-24,470000.0,Real
2024-12-25,510000.0,Real
2024-12-26,490000.0,Real
2024-12-27,500000.0,Real
2024-12-28,450000.0,Real
2024-12-29,550000.0,Real
2024-12-30,420000.0,Real
2024-12-31,430000.0,Real
