Flux,Date,Source
360000.0,2025-11-22,Real
360000.0,2025-11-23,Real
380000.0,2025-11-24,Real
360000.0,2025-11-25,Real
360000.0,2025-11-26,Real
360000.0,2025-11-27,Real
390000.0,2025-11-28,Real
400000.0,2025-11-29,Real
400000.0,2025-11-30,Real
440000.0,2025-12-01,Real
430000.0,2025-12-02,Real
440000.0,2025-12-03,Real
440000.0,2025-12-04,Real
470000.0,2025-12-05,Real
470000.0,2025-12-06,Real
480000.0,2025-12-07,Real
440000.0,2025-12-08,Real
430000.0,2025-12-09,Real
460000.0,2025-12-10,Real
410000.0,2025-12-11,Real
390000.0,2025-12-12,Real
380000.0,2025-12-13,Real
360000.0,2025-12-14,Real
360000.0,2025-12-15,Real
370000.0,2025-12-16,Real
360000.0,2025-12-17,Real
370000.0,2025-12-18,Real
330000.0,2025-12-19,Real
340000.0,2025-12-20,Real
350000.0,2025-12-21,Real
340000.0,2025-12-22,Real
380000.0,2025-12-23,Real
380000.0,2025-12-24,Real
420000.0,2025-12-25,Real
400000.0,2025-12-26,Real
400000.0,2025-12-27,Real
420000.0,2025-12-28,Real
420000.0,2025-12-29,Real
360000.0,2025-12-30,Real
370000.0,2025-12-31,Real
