Date,Flux,Source
2025-10-26,395333.3333333333,Interpoliated
2025-10-27,392666.6666666667,Interpoliated
2025-10-28,390000.0,Real
2025-10-29,380000.0,Real
2025-10-30,390000.0,Real
2025-10-31,390000.0,Real
2025-11-01,380000.0,Real
2025-11-02,390000.0,Real
2025-11-03,390000.0,Real
2025-11-04,460000.0,Real
2025-11-05,440000.0,Real
2025-11-06,450000.0,Real
2025-11-07,1150000.0,Real
2025-11-08,2500000.0,Real
2025-11-09,860000.0,Real
2025-11-10,560000.0,Real
2025-11-11,690000.0,Real
2025-11-12,390000.0,Real
2025-11-13,400000.0,Real
2025-11-14,410000.0,Real
2025-11-15,400000.0,Real
2025-11-16,390000.0,Real
2025-11-17,440000.0,Real
2025-11-18,370000.0,Real
2025-11-19,360000.0,Real
2025-11-20,380000.0,Real
2025-11-21,360000.0,Real
2025-11-22,360000.0,Real
2025-11-23,360000.0,Real
2025-11-24,380000.0,Real
2025-11-25,360000.0,Real
2025-11-26,360000.0,Real
2025-11-27,360000.0,Real
2025-11-28,390000.0,Real
2025-11-29,400000.0,Real
2025-11-30,400000.0,Real
2025-12-01,440000.0,Real
2025-12-02,430000.0,Real
2025-12-03,440000.0,Real
2025-12-04,440000.0,Real
2025-12-05,470000.0,Real
2025-12-06,470000.0,Real
2025-12-07,480000.0,Real
2025-12-08,440000.0,Real
2025-12-09,430000.0,Real
2025-12-10,460000.0,Real
2025-12-11,410000.0,Real
2025-12-12,390000.0,Real
2025-12-13,380000.0,Real
2025-12-14,360000.0,Real
2025-12-15,360000.0,Real
2025-12-16,370000.0,Real
2025-12-17,360000.0,Real
2025-12-18,370000.0,Real
2025-12-19,330000.0,Real
2025-12-20,340000.0,Real
2025-12-21,350000.0,Real
2025-12-22,340000.0,Real
2025-12-23,380000.0,Real
2025-12-24,380000.0,Real
2025-12-25,420000.0,Real
2025-12-26,400000.0,Real
2025-12-27,400000.0,Real
2025-12-28,420000.0,Real
2025-12-29,420000.0,Real
2025-12-30,360000.0,Real
2025-12-31,370000.0,Real
