,Old,New,difference,ratio
174,417871.1844892578,285757.9006708984,132113.28381835943,1.4623259182272326
175,,,,
176,185563.62119726563,147693.4951386719,37870.12605859374,1.256410250316284
177,102870.47769140624,75578.31052050782,27292.16717089842,1.3611111042696942
178,205762.89495996092,163770.46834277344,41992.42661718748,1.2564102493087879
179,185138.37164941404,122651.3805566406,62486.991092773445,1.5094683060980048
180,246232.68667871098,174020.10126855466,72212.58541015632,1.4149669198198835
181,176259.4514980469,147482.39905078124,28777.052447265654,1.19512194426236
182,135049.42373535156,110244.42819335939,24804.995541992175,1.224999992729667
183,212464.15659667965,177776.1321074219,34688.02448925775,1.1951219439755691
184,253847.20973632814,196861.1025283203,56986.10720800783,1.2894736770043733
185,235848.34807421875,168463.10695996095,67385.2411142578,1.3999999900884734
186,473194.1437617187,347652.84266992187,125541.30109179683,1.361111101890203
187,202834.8168544922,149021.4990527344,53813.3178017578,1.361111102383387
188,174964.8899277344,139257.77024609374,35707.119681640645,1.2564102499884904
189,201611.09708984377,160465.97612988282,41145.12095996094,1.256410249401765
190,206136.53154492186,168274.7203798828,37861.81116503905,1.2249999945301673
191,138101.36281445314,121190.99243261719,16910.37038183595,1.139534878313982
192,144933.14001757812,141975.3213232422,2957.8186943359033,1.0208333298123107
193,261847.22974121096,235128.12566406254,26719.104077148426,1.1136363589072416
194,171144.01441992185,143202.13534960937,27941.879070312483,1.1951219442510128
195,111669.27317480468,93437.55562597656,18231.71754882812,1.1951219445616525
196,94645.47622851563,73398.53303222655,21246.94319628908,1.2894736763602666
197,186452.78284667968,186452.78400683592,-0.0011601562437135726,0.9999999937777478
198,107677.1084736328,96689.64898242187,10987.459491210931,1.1136363572196692
199,121136.41915820312,104655.27374902344,16481.145409179677,1.1574803143576267
200,106834.10769433592,88665.04174023439,18169.065954101534,1.2049180330544724
201,111131.8027109375,88451.84292382814,22679.959787109357,1.2564102571230833
202,158947.69991796874,132997.05474511717,25950.645172851568,1.195121953810066
203,111465.19748242188,95541.59747363282,15923.600008789057,1.1666666711657567
204,89869.18717382813,80698.86157226562,9170.325601562508,1.113636368876784
205,101450.87361914062,84887.46514550781,16563.408473632808,1.1951219587631818
206,111773.59266406251,93524.84220214844,18248.750461914067,1.1951219593877578
207,75134.67034277343,62867.78495996093,12266.8853828125,1.1951219593727536
208,102489.41070507813,83664.82444238281,18824.586262695317,1.2250000091216253
209,117987.26078320314,101131.9371689453,16855.32361425784,1.1666666741100815
210,108885.46906347654,93330.40162011719,15555.067443359352,1.1666666720954781
211,136306.88885058594,108489.15603222656,27817.732818359378,1.2564102610411694
212,122400.26206054687,99918.58093652342,22481.681124023453,1.2250000041364246
213,100861.04958496093,96744.27183203126,4116.777752929673,1.0425531938477688
214,111650.92502929688,109372.33447070312,2278.590558593758,1.0208333356842092
215,171409.60297558593,150420.67154296875,20988.931432617188,1.1395348871755406
216,149283.60365625,131003.97829101562,18279.625365234373,1.1395348874415672
217,249118.44035058594,223698.1905029297,25420.249847656232,1.1136363677797534
218,129598.21023437502,121663.62543164063,7934.584802734389,1.0652173957054454
219,160417.6229453125,157143.79325585937,3273.829689453123,1.0208333375542407
220,186137.6022548828,159546.51549609375,26591.086758789053,1.1666666719489722
221,311028.4460283203,266595.8099599609,44432.63606835937,1.1666666706991102
222,200623.2387714844,184245.83094335938,16377.407828125026,1.0888888923253832
223,199390.22635546877,170905.90755957033,28484.318795898434,1.166666671753111
224,210361.77887988283,93698.99085351564,116662.78802636718,2.245080517555968
225,239598.25608105471,185810.89122558595,53787.36485546877,1.2894736928534913
226,183654.10163964843,146173.67179687502,37480.42984277342,1.2564102644616928
227,227634.80916796875,176533.117859375,51101.691308593756,1.289473680226398
228,277627.6729277344,209637.22339746097,67990.44953027341,1.3243243181167648
229,157411.91115917967,118862.05614453125,38549.85501464842,1.3243243156400846
230,149962.28009472656,122418.18897460937,27544.0911201172,1.2249999885705718
231,148975.97840917966,118572.71890332033,30403.25950585933,1.2564102416395544
232,128510.81899121094,97038.78292285158,31472.03606835936,1.3243243074614865
233,132829.70838574218,113854.03743554687,18975.670950195316,1.166666649489154
234,110360.10677050782,92342.1317314453,18017.975039062512,1.1951219308155396
235,117824.36106835937,98587.73254492188,19236.628523437495,1.1951219287315717
236,120930.59432128904,101186.82579785158,19743.768523437466,1.1951219278572989
237,98968.30228027343,88869.49761914063,10098.804661132803,1.1136363424086435
238,177885.59649707034,174255.281390625,3630.3151064453414,1.0208333146489106
239,125131.37533398438,130238.78087597656,-5107.405541992179,0.9607842955251873
240,133386.21363574217,138830.55137890624,-5444.337743164069,0.9607842964744482
241,55906.411930664064,58094.53081933593,-2188.1188886718664,0.9623351999265379
242,148072.34717578127,153619.37096679688,-5547.023791015614,0.9638911176624038
243,171519.41297265625,157805.53497070313,13713.878001953126,1.086903656481372
244,213386.33018652347,195967.04136523436,17419.288821289112,1.0888888697810355
245,197999.77726074218,197999.7801650391,-0.002904296910855919,0.9999999853318174
246,188066.9331123047,172714.53247851564,15352.400633789046,1.0888888758431416
247,177171.04065136716,162708.10112597657,14462.939525390597,1.0888888716990968
248,230758.06633789063,193083.28298730467,37674.78335058596,1.195121932710576
249,172658.25489648437,144469.1546689453,28189.10022753908,1.1951219296059088
250,218300.8030136719,191570.09728808596,26730.705725585925,1.139534854885979
251,153569.56776074218,122228.8424580078,31340.725302734383,1.2564102275083036
252,341224.4194472656,250695.49788476562,90528.9215625,1.361111078285548
